timestamp,BTC,ETH
2025-12-29 00:00:00,91529.73,3144.7
2026-01-05 00:00:00,91013.65,3123.45
2026-01-12 00:00:00,93673.14,3284.03
2026-01-19 00:00:00,86670.36,2816.89
2026-01-26 00:00:00,76968.21,2270.15
2026-02-02 00:00:00,70330.38,2089.74
2026-02-09 00:00:00,68832.58,1966.58
2026-02-16 00:00:00,67643.4,1957.82
2026-02-23 00:00:00,65776.47,1939.71
2026-03-02 00:00:00,65971.2,1937.1
2026-03-09 00:00:00,72815.24,2178.3
2026-03-16 00:00:00,67859.0,2053.89
2026-03-23 00:00:00,66010.93,1984.64
2026-03-30 00:00:00,69034.18,2110.17
2026-04-06 00:00:00,70740.98,2191.65
2026-04-13 00:00:00,73801.79,2263.27
2026-04-20 00:00:00,78657.55,2369.44
2026-04-27 00:00:00,78568.57,2322.65
2026-05-04 00:00:00,82210.07,2371.27
2026-05-11 00:00:00,77457.67,2131.0
2026-05-18 00:00:00,77064.96,2099.85
2026-05-25 00:00:00,73674.39,2007.01
2026-06-01 00:00:00,63332.01,1690.51
2026-06-08 00:00:00,65746.45,1725.62
2026-06-15 00:00:00,63311.99,1706.94
2026-06-22 00:00:00,59577.01,1571.96
2026-06-29 00:00:00,63650.0,1785.65
2026-07-06 00:00:00,63780.0,1806.8
2026-07-13 00:00:00,64722.54,1872.23
2026-07-20 00:00:00,65399.99,1954.72
2026-07-27 00:00:00,63570.0,1885.36
2026-08-03 00:00:00,64901.59,1910.65
2026-08-10 00:00:00,62900.0,1876.0
2026-08-17 00:00:00,77734.0,2463.41
2026-08-24 00:00:00,77682.0,2416.88
